word	change (%)	opm BASE	opm INST	significant
fcγr_NOUN	642.22	0.61	4.52	True
asas_NOUN	642.22	0.61	4.52	True
slender_ADJ	642.22	0.61	4.52	False
primiparous_ADJ	642.22	0.61	4.52	False
relocation_NOUN	642.22	0.61	4.52	False
biomembrane_NOUN	642.22	0.61	4.52	False
preceptor_NOUN	642.22	0.61	4.52	False
calcite_ADJ	642.22	0.61	4.52	True
mentally_ADV	642.22	0.61	4.52	False
elafibranor_NOUN	642.22	0.61	4.52	True
aegyti_NOUN	642.22	0.61	4.52	True
game_ADJ	642.22	0.61	4.52	True
thiosemicarbazide_ADJ	642.22	0.61	4.52	True
survivability_NOUN	642.22	0.61	4.52	False
cassavahsp21_NOUN	642.22	0.61	4.52	True
delinquent_NOUN	642.22	0.61	4.52	False
nucleoid_ADJ	642.22	0.61	4.52	True
tactical_ADJ	642.22	0.61	4.52	False
piroplasm_NOUN	642.22	0.61	4.52	False
AFib_NOUN	642.22	0.61	4.52	True
diphasic_ADJ	642.22	0.61	4.52	True
cdft_NOUN	642.22	0.61	4.52	False
crucial_ADJ	612.30	75.51	537.86	True
hydrochloride_NOUN	595.83	1.22	8.47	True
underserved_ADJ	595.83	1.22	8.47	True
antigenic_ADJ	595.83	1.22	8.47	True
gfm_NOUN	595.83	1.22	8.47	True
batting_NOUN	595.83	1.22	8.47	True
pfm_NOUN	595.83	1.22	8.47	True
default_NOUN	580.37	1.83	12.43	True
empower_VERB	572.64	2.44	16.38	True
notably_ADV	562.70	4.26	28.25	True
fouling_NOUN	549.45	0.61	3.95	False
noticeable_ADJ	549.45	0.61	3.95	False
danish_ADJ	549.45	0.61	3.95	False
contracture_NOUN	549.45	0.61	3.95	False
tangent_NOUN	549.45	0.61	3.95	False
grey_ADJ	549.45	0.61	3.95	False
respectful_ADJ	549.45	0.61	3.95	False
rom_NOUN	549.45	1.22	7.91	True
geology_NOUN	549.45	0.61	3.95	False
stall_VERB	549.45	0.61	3.95	False
textural_NOUN	549.45	0.61	3.95	False
redundancy_NOUN	549.45	1.22	7.91	True
diatomaceous_ADJ	549.45	0.61	3.95	False
proficiency_NOUN	549.45	0.61	3.95	False
spectrophotometric_ADJ	549.45	0.61	3.95	False
adaptability_NOUN	549.45	1.22	7.91	True
halo_NOUN	549.45	0.61	3.95	False
bmor1_ADJ	549.45	0.61	3.95	False
lethargy_NOUN	549.45	0.61	3.95	False
melamine_NOUN	549.45	0.61	3.95	False
nanostar_NOUN	549.45	0.61	3.95	False
luminescence_NOUN	549.45	2.44	15.82	True
hexachlorocyclohexane_ADJ	549.45	0.61	3.95	False
conformal_ADJ	549.45	0.61	3.95	False
scraper_NOUN	549.45	0.61	3.95	False
shifter_NOUN	549.45	0.61	3.95	False
flowability_NOUN	549.45	0.61	3.95	False
tray_NOUN	549.45	0.61	3.95	False
hate_NOUN	549.45	0.61	3.95	False
radiotherapy_ADJ	549.45	0.61	3.95	False
orthodontist_NOUN	549.45	0.61	3.95	False
merely_ADV	549.45	0.61	3.95	False
microbubble_NOUN	549.45	0.61	3.95	False
permanganate_NOUN	549.45	0.61	3.95	False
conferencing_NOUN	549.45	0.61	3.95	False
pace_VERB	549.45	0.61	3.95	False
hexene_NOUN	549.45	0.61	3.95	False
endocrinologist_NOUN	549.45	0.61	3.95	False
